,date,time,x-pid,x-status,x-ctx,x-comment,new,hello
51,2017-10-28,08:48:20,10124,(s)2641173,<08:48:20:884>,USER,[online_directory]:,OnDisconnect:cdgiimp1222
52,2017-10-28,08:49:03,10124,(s)2641173,<08:49:03:956>,USER,"[poll:4702111234676310383,14.139.236.46,dcrustmh1064]:",Polled from client. Printed only once in 100 polls.
53,2017-10-28,08:49:05,10124,(s)2641173,<08:49:05:808>,USER,"[disconnectConnection Client:4702111234760196463,115.113.187.8,fmitslr1333:]:",Entered Function
54,2017-10-28,08:49:05,10124,(s)2641173,<08:49:05:808>,USER,"[disconnectConnection Client:4702111234760196463,115.113.187.8,fmitslr1333:]:",Exited Function
55,2017-10-28,08:49:05,10124,(s)2641173,<08:49:05:809>,USER,[online_directory]:,OnDisconnect:fmitslr1333
56,2017-10-28,08:49:33,10124,(s)2641173,<08:49:33:042>,USER,"[disconnectPreviousConnections, Name:fmitslr1333: NewId:4702111234894414191: retryCounter:0: NewIP:115.113.187.8: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:7
57,2017-10-28,08:49:33,10124,(s)2641173,<08:49:33:043>,USER,[online_directory]:,"client connected. name:fmitslr1333 id:4702111234894414191,115.113.187.8"
58,2017-10-28,08:49:33,10124,(s)2641173,<08:49:33:082>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
59,2017-10-28,08:49:37,10124,(s)2641173,<08:49:37:211>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
60,2017-10-28,08:50:11,10124,(s)2641173,<08:50:11:568>,USER,"[disconnectPreviousConnections, Name:epmcektn1061: NewId:4702111235028631919: retryCounter:0: NewIP:210.212.247.178: NewMacAddress:A4-1F-72-88-96-A5]:",Entered Function Current number of clients:8
61,2017-10-28,08:50:11,10124,(s)2641173,<08:50:11:568>,USER,[online_directory]:,"client connected. name:epmcektn1061 id:4702111235028631919,210.212.247.178"
62,2017-10-28,08:50:11,10124,(s)2641173,<08:50:11:698>,USER,"[setValue:users_so,epmcektn1061]:",Set shared object property
63,2017-10-28,08:50:12,10124,(s)2641173,<08:50:12:381>,USER,"[poll:4702111234542092655,122.252.231.138,gituk1210]:",Polled from client. Printed only once in 100 polls.
64,2017-10-28,08:50:18,10124,(s)2641173,<08:50:18:478>,USER,"[setValue:users_so,epmcektn1061]:",Set shared object property
65,2017-10-28,08:50:30,10124,(s)2641173,<08:50:30:210>,USER,"[disconnectPreviousConnections, Name:sfitbwm1067: NewId:4702111235062186351: retryCounter:0: NewIP:115.248.171.105: NewMacAddress:D8-CB-8A-6D-2B-16]:",Entered Function Current number of clients:9
66,2017-10-28,08:50:30,10124,(s)2641173,<08:50:30:211>,USER,[online_directory]:,"client connected. name:sfitbwm1067 id:4702111235062186351,115.248.171.105"
67,2017-10-28,08:50:30,10124,(s)2641173,<08:50:30:222>,USER,"[setValue:users_so,sfitbwm1067]:",Set shared object property
68,2017-10-28,08:50:31,10124,(s)2641173,<08:50:31:931>,USER,"[setValue:users_so,sfitbwm1067]:",Set shared object property
69,2017-10-28,08:51:26,10124,(s)2641173,<08:51:26:205>,USER,"[poll:4702111234726642031,14.139.209.3,nitat1133]:",Polled from client. Printed only once in 100 polls.
70,2017-10-28,08:51:40,10124,(s)2641173,<08:51:40:523>,USER,"[disconnectConnection Client:4702111234894414191,115.113.187.8,fmitslr1333:]:",Entered Function
71,2017-10-28,08:51:40,10124,(s)2641173,<08:51:40:523>,USER,"[disconnectConnection Client:4702111234894414191,115.113.187.8,fmitslr1333:]:",Exited Function
72,2017-10-28,08:51:40,10124,(s)2641173,<08:51:40:524>,USER,[online_directory]:,OnDisconnect:fmitslr1333
73,2017-10-28,08:52:03,10124,(s)2641173,<08:52:03:478>,USER,"[disconnectPreviousConnections, Name:fmitslr1333: NewId:4702111235095740783: retryCounter:0: NewIP:115.113.187.8: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:9
74,2017-10-28,08:52:03,10124,(s)2641173,<08:52:03:478>,USER,[online_directory]:,"client connected. name:fmitslr1333 id:4702111235095740783,115.113.187.8"
75,2017-10-28,08:52:03,10124,(s)2641173,<08:52:03:589>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
