chat_session_id,owner_id,title,group_id,lecture_id,is_private_chat,created_by_user_id,modified_by_user_id,created_date,modified_date,status_id
114,11646,M M Class 123 Session chat,NULL,1047,Y,11646,11646,2017-08-30 11:09:00,2017-08-30 11:09:00,1
115,11648,M M Class 125 Session chat,NULL,1051,Y,11648,11648,2017-08-30 11:46:46,2017-08-30 11:46:46,1
116,11374,M M Class 133 Session chat,NULL,1067,Y,11374,11374,2017-08-30 13:00:26,2017-08-30 13:00:26,1
117,11374,M M Class 133 Session chat,NULL,1067,Y,11374,11374,2017-08-30 13:06:29,2017-08-30 13:06:29,1
118,11387,M M Class 142 Session chat,NULL,1086,Y,11387,11387,2017-08-30 14:01:03,2017-08-30 14:01:03,1
119,11374,M M Class 133 Session chat,NULL,1067,Y,11374,11374,2017-08-30 14:17:42,2017-08-30 14:17:42,1
120,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 15:10:17,2017-08-30 15:10:17,1
121,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 15:17:36,2017-08-30 15:17:36,1
122,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 15:20:48,2017-08-30 15:20:48,1
123,11387,M M Class 142 Session chat,NULL,1086,Y,11387,11387,2017-08-30 15:27:17,2017-08-30 15:27:17,1
124,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 15:37:06,2017-08-30 15:37:06,1
125,11708,M M Class 141 Session chat,NULL,1084,Y,11708,11708,2017-08-30 15:48:21,2017-08-30 15:48:21,1
126,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 15:48:39,2017-08-30 15:48:39,1
127,11708,M M Class 141 Session chat,NULL,1084,Y,11708,11708,2017-08-30 16:11:25,2017-08-30 16:11:25,1
128,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 16:13:06,2017-08-30 16:13:06,1
129,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 16:25:33,2017-08-30 16:25:33,1
130,11708,M M Class 141 Session chat,NULL,1084,Y,11708,11708,2017-08-30 16:37:56,2017-08-30 16:37:56,1
131,11387,M M Class 142 Session chat,NULL,1086,Y,11387,11387,2017-08-30 16:45:56,2017-08-30 16:45:56,1
132,11706,M M Class 139 Session chat,NULL,1080,Y,11706,11706,2017-08-30 16:49:18,2017-08-30 16:49:18,1
133,11551,Sirisha Nallakukkala_ Private chat,NULL,NULL,Y,11551,11551,2017-08-30 16:55:27,2017-08-30 16:55:27,1
134,11387,M M Class 142 Session chat,NULL,1086,Y,11387,11387,2017-08-30 16:55:39,2017-08-30 16:55:39,1
135,11550,Sirisha Nallakukkala_... Group chat,NULL,NULL,N,11550,11550,2017-08-30 16:56:08,2017-08-30 16:56:10,4
136,11551,Soumen Panda_chemical Group chat,NULL,NULL,N,11551,11551,2017-08-30 16:58:25,2017-08-30 16:58:38,4
137,11806,M M Class 147 Session chat,NULL,1095,Y,11806,11806,2017-08-31 10:12:38,2017-08-31 10:12:38,1
138,11806,M M Class 147 Session chat,NULL,1095,Y,11806,11806,2017-08-31 10:22:17,2017-08-31 10:22:17,1
139,11806,M M Class 147 Session chat,NULL,1095,Y,11806,11806,2017-08-31 10:48:44,2017-08-31 10:48:44,1
140,15298,Harsha Chavan_... Group chat,NULL,NULL,N,15298,15298,2017-08-31 11:29:04,2017-08-31 11:29:11,4
141,15298,Harsha Chavan_... Group chat,NULL,NULL,N,15298,15298,2017-08-31 11:29:18,2017-08-31 11:29:18,1
142,15298,Harsha Chavan_... Group chat,NULL,NULL,N,15298,15298,2017-08-31 12:17:06,2017-08-31 12:17:17,4
143,12465,M M Class 160 Session chat,NULL,1125,Y,12465,12465,2017-08-31 14:17:58,2017-08-31 14:17:58,1
144,12465,M M Class 160 Session chat,NULL,1125,Y,12465,12465,2017-08-31 14:40:31,2017-08-31 14:40:31,1
145,12513,M M Class 162 Session chat,NULL,1129,Y,12513,12513,2017-08-31 15:27:01,2017-08-31 15:27:01,1
146,12513,M M Class 162 Session chat,NULL,1129,Y,12513,12513,2017-08-31 15:46:01,2017-08-31 15:46:01,1
147,12513,M M Class 162 Session chat,NULL,1129,Y,12513,12513,2017-08-31 16:07:30,2017-08-31 16:07:30,1
148,12513,M M Class 162 Session chat,NULL,1129,Y,12513,12513,2017-08-31 16:13:32,2017-08-31 16:13:32,1
149,12513,M M Class 162 Session chat,NULL,1129,Y,12513,12513,2017-08-31 16:14:49,2017-08-31 16:14:49,1
150,12466,M M Class 161 Session chat,NULL,1127,Y,12466,12466,2017-08-31 16:27:12,2017-08-31 16:27:12,1
151,11395,M M Class 005 Session chat,NULL,661,Y,11395,11395,2017-09-01 9:54:27,2017-09-01 9:54:27,1
152,11395,M M Class 005 Session chat,NULL,661,Y,11395,11395,2017-09-01 10:31:51,2017-09-01 10:31:51,1
153,11395,M M Class 005 Session chat,NULL,661,Y,11395,11395,2017-09-01 10:46:54,2017-09-01 10:46:54,1
154,11395,M M Class 005 Session chat,NULL,661,Y,11395,11395,2017-09-01 10:51:28,2017-09-01 10:51:28,1
155,11415,M M Class 009 Session chat,NULL,677,Y,11415,11415,2017-09-01 12:10:36,2017-09-01 12:10:36,1
156,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 13:08:12,2017-09-01 13:08:12,1
157,11415,M M Class 009 Session chat,NULL,677,Y,11415,11415,2017-09-01 13:37:15,2017-09-01 13:37:15,1
158,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 13:40:49,2017-09-01 13:40:49,1
159,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 13:54:27,2017-09-01 13:54:27,1
160,15298,Harsha Talele_ Private chat,NULL,NULL,Y,15298,15298,2017-09-01 13:57:49,2017-09-01 13:57:49,1
161,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 14:03:18,2017-09-01 14:03:18,1
162,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 14:10:40,2017-09-01 14:10:40,1
163,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 14:26:45,2017-09-01 14:26:45,1
164,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 14:50:52,2017-09-01 14:50:52,1
165,11430,M M Class 014 Session chat,NULL,753,Y,11430,11430,2017-09-01 14:55:30,2017-09-01 14:55:30,1
166,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 12:55:54,2017-09-02 12:55:54,1
167,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 12:56:45,2017-09-02 12:56:45,1
168,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 13:10:28,2017-09-02 13:10:28,1
169,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 13:12:39,2017-09-02 13:12:39,1
170,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 13:15:54,2017-09-02 13:15:54,1
171,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 13:20:38,2017-09-02 13:20:38,1
172,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 13:38:58,2017-09-02 13:38:58,1
173,11606,M M Class 033 Session chat,NULL,791,Y,11606,11606,2017-09-02 14:50:14,2017-09-02 14:50:14,1
174,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 11:19:44,2017-09-03 11:19:44,1
175,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 11:21:01,2017-09-03 11:21:01,1
176,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 11:28:47,2017-09-03 11:28:47,1
177,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 11:45:19,2017-09-03 11:45:19,1
178,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 11:54:44,2017-09-03 11:54:44,1
179,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 12:20:33,2017-09-03 12:20:33,1
180,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 13:46:49,2017-09-03 13:46:49,1
181,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 14:39:14,2017-09-03 14:39:14,1
182,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 14:54:37,2017-09-03 14:54:37,1
183,11386,M M Class 063 Session chat,NULL,855,Y,11386,11386,2017-09-03 14:57:06,2017-09-03 14:57:06,1
184,11421,M M Class 071 Session chat,NULL,871,Y,11421,11421,2017-09-03 15:53:40,2017-09-03 15:53:40,1
185,11421,M M Class 071 Session chat,NULL,871,Y,11421,11421,2017-09-03 16:21:03,2017-09-03 16:21:03,1
186,11385,M M Class 067 Session chat,NULL,863,Y,11385,11385,2017-09-03 17:01:12,2017-09-03 17:01:12,1
187,11421,M M Class 071 Session chat,NULL,871,Y,11421,11421,2017-09-03 17:02:28,2017-09-03 17:02:28,1
188,11394,M M Class 075 Session chat,NULL,880,Y,11394,11394,2017-09-04 10:17:13,2017-09-04 10:17:13,1
189,11394,M M Class 075 Session chat,NULL,880,Y,11394,11394,2017-09-04 10:17:36,2017-09-04 10:17:36,1
190,11394,M M Class 075 Session chat,NULL,880,Y,11394,11394,2017-09-04 10:59:01,2017-09-04 10:59:01,1
191,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 12:43:10,2017-09-04 12:43:10,1
192,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 12:43:49,2017-09-04 12:43:49,1
193,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 12:45:12,2017-09-04 12:45:12,1
194,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 12:48:37,2017-09-04 12:48:37,1
195,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 13:05:59,2017-09-04 13:05:59,1
196,11602,M M Class 084 Session chat,NULL,898,Y,11602,11602,2017-09-04 13:29:26,2017-09-04 13:29:26,1
197,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 14:02:40,2017-09-04 14:02:40,1
198,11605,M M Class 088 Session chat,NULL,907,Y,11605,11605,2017-09-04 14:25:02,2017-09-04 14:25:02,1
199,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 9:56:31,2017-09-05 9:56:31,1
200,11616,M M Class 100 Session chat,NULL,968,Y,11616,11616,2017-09-05 10:22:53,2017-09-05 10:22:53,1
201,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 10:26:06,2017-09-05 10:26:06,1
202,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 10:52:32,2017-09-05 10:52:32,1
203,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 11:12:00,2017-09-05 11:12:00,1
204,11616,M M Class 100 Session chat,NULL,968,Y,11616,11616,2017-09-05 11:28:21,2017-09-05 11:28:21,1
205,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 11:42:35,2017-09-05 11:42:35,1
206,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 11:44:38,2017-09-05 11:44:38,1
207,11617,M M Class 101 Session chat,NULL,970,Y,11617,11617,2017-09-05 11:58:15,2017-09-05 11:58:15,1
208,11404,M M Class 119 Session chat,NULL,1006,Y,11404,11404,2017-09-05 16:28:08,2017-09-05 16:28:08,1
209,11418,M M Class 120 Session chat,NULL,1010,Y,11418,11418,2017-09-05 17:00:18,2017-09-05 17:00:18,1
210,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 9:52:40,2017-09-06 9:52:40,1
211,11646,M M Class 123 Session chat,NULL,1048,Y,11646,11646,2017-09-06 9:53:13,2017-09-06 9:53:13,1
212,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 10:07:34,2017-09-06 10:07:34,1
213,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 10:08:08,2017-09-06 10:08:08,1
214,11646,M M Class 123 Session chat,NULL,1048,Y,11646,11646,2017-09-06 10:18:26,2017-09-06 10:18:26,1
215,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:08:47,2017-09-06 11:08:47,1
216,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:23:47,2017-09-06 11:23:47,1
217,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:30:50,2017-09-06 11:30:50,1
218,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:36:10,2017-09-06 11:36:10,1
219,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:46:17,2017-09-06 11:46:17,1
220,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:46:45,2017-09-06 11:46:45,1
221,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:55:49,2017-09-06 11:55:49,1
222,11644,M M Class 121 Session chat,NULL,1012,Y,11644,11644,2017-09-06 11:58:17,2017-09-06 11:58:17,1
223,11374,M M Class 133 Session chat,NULL,1068,Y,11374,11374,2017-09-06 12:39:58,2017-09-06 12:39:58,1
224,11706,M M Class 139 Session chat,NULL,1081,Y,11706,11706,2017-09-06 15:17:52,2017-09-06 15:17:52,1
225,18035,M M Class 146 Session chat,NULL,1094,Y,18035,18035,2017-09-07 11:15:59,2017-09-07 11:15:59,1
226,11805,M M Class 146 Session chat,NULL,1094,Y,11805,11805,2017-09-07 11:24:26,2017-09-07 11:24:26,1
227,11805,M M Class 146 Session chat,NULL,1094,Y,11805,11805,2017-09-07 11:33:11,2017-09-07 11:33:11,1
228,10143,1128. Visvesvaraya National Institute Of Technology Nagpur (Maharashtra)_... Group chat,NULL,NULL,N,10143,10143,2017-09-11 23:23:48,2017-09-11 23:23:58,4
